refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,188,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,200,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,188,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,178,2,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,94,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,94,2,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,118,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ReflectionAccessFilterHelper.java,,ReflectionAccessFilterHelper,74,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,166,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
