refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Rename Variable,ActionGroupPanelWrapper,public,1,1,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,4
Rename Variable,ActionGroupPanelWrapper,public,1,2,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,4
Rename Parameter,ActionGroupPanelWrapper,public,1,1,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,4
Rename Variable,ActionGroupPanelWrapper,private,1,1,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,2
Add Method Annotation,PsiDocumentManagerBase,public,6,1,1,platform/core-impl/src/com/intellij/psi/impl/PsiDocumentManagerBase.java,fa299d562f733d636bd58a58db1db9613322d4cd,15,4
Rename Method,PsiDocumentManagerImplTest,,10,4,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,0
Rename Method,PsiDocumentManagerImplTest,,55,4,5,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,0
Extract Method,PsiDocumentManagerImplTest,,55,4,5,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,0
Extract Method,PsiDocumentManagerImplTest,,55,4,5,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,0
Replace Variable With Attribute,PsiDocumentManagerImplTest,private,1,1,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,2
Extract Variable,PsiDocumentManagerImplTest,private,14,2,2,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,2
