refactoring_type,file_path,method_name,class_name,lines_changed
Add Class Annotation,gson/src/test/java/com/google/gson/integration/OSGiManifestIT.java,,OSGiManifestIT,406
Add Class Annotation,gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java,,ISO8601Utils,720
Add Class Annotation,test-shrinker/src/test/java/com/google/gson/it/ShrinkingIT.java,,ShrinkingIT,554
Try With Resources,metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,,ParseBenchmark,63
Remove Thrown Exception Type,gson/src/test/java/com/google/gson/functional/ReflectionAccessFilterTest.java,,ReflectionAccessFilterTest,58
Change Parameter Type,gson/src/main/java/com/google/gson/internal/$Gson$Types.java,,$Gson$Types,14
Change Parameter Type,gson/src/main/java/com/google/gson/internal/$Gson$Types.java,,$Gson$Types,4
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,41
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,98
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,97
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,96
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,95
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,170
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,169
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,170
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,170
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,169
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,169
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTypeAdapterTest.java,,GsonTypeAdapterTest,56
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,104
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java,,CustomDeserializerTest,51
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java,,CustomDeserializerTest,39
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java,,CustomDeserializerTest,39
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java,,CustomDeserializerTest,41
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java,,CustomDeserializerTest,41
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomSerializerTest.java,,CustomSerializerTest,35
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,57
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,55
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,36
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,49
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,57
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,59
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,33
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java,,CustomTypeAdaptersTest,36
