refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Add Parameter Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,public,UnresolvedAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Remove Method Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,public,UnresolvedAttribute,17,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,protected,UnresolvedAttribute,18,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/function/UnsupportedAttribute.java,,UnsupportedAttribute,27,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/function/UnsupportedAttribute.java,protected,UnsupportedAttribute,17,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,419,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,448,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Change Variable Type,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,public,EsqlBaseParser,4,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Change Variable Type,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,public,EsqlBaseParser,4,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Rename Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Change Return Type,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,public,EsqlBaseParser,4,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Rename Attribute,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,2,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Rename Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Change Return Type,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,public,EsqlBaseParser,4,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/Attribute.java,,Attribute,12,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/Attribute.java,,Attribute,25,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/Attribute.java,protected,Attribute,11,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/ExpressionBuilder.java,,ExpressionBuilder,104,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Rename Parameter,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/ExpressionBuilder.java,public,ExpressionBuilder,10,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/MetadataAttribute.java,protected,MetadataAttribute,18,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Move Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Move Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Move Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Move Method,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,6,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Class,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,110,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Class,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,,EsqlBaseParser,110,99318f459902d478c8c5ae46c7ae36afa76c4d0b
