refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Change Method Access Modifier,MockMethodInterceptor,public,35,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,4
Change Return Type,MockMethodInterceptor,public,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,4
Rename Method,ModuleHandler,,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Parameter,ModuleHandler,package,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Parameter,ModuleHandler,package,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Rename Method,ModuleHandler,,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Parameter,ModuleHandler,package,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Parameter,ModuleHandler,package,1,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Rename Method,ModuleHandler,,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Change Return Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Rename Parameter,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Parameter Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Move And Inline Method,ModuleHandler,,4,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Method,ModuleHandler,,12,1,3,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Parameter,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Parameter,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Rename Method,ModuleHandler,,11,1,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Change Return Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Rename Parameter,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Parameter Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Thrown Exception Type,InlineDelegateByteBuddyMockMakerTest,public,1,1,1,mockito-core/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,c81be5deedfd966bd17c9619769a34c74d9779e6,6,4
Extract Variable,InvocationContainerImpl,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,6e53f34a3f54d2b7dc23595566b9331a94b57263,7,2
Move Source Folder,ClassLoaders,,513,2,1,mockito-core/src/test/java/org/mockitoutil/ClassLoaders.java,1193be78bb3e82136ac8c2c94f744337f39c57c7,2,0
Rename Method,SimplePerRealmReloadingClassLoader,,4,2,1,mockito-core/src/test/java/org/mockitoutil/SimplePerRealmReloadingClassLoader.java,1193be78bb3e82136ac8c2c94f744337f39c57c7,17,0
